,neighbhood,nameAr,lat,lng,types,rating,user_ratings_total,delivery,dine_in,isLoved,schoolNum,companieNum,officeNum,HotelNum,parksNum,isSuccessful,neighbhood_id,CompNum
19,ishbiliyah,اشبيلية,24.8058081,46.8119938,Coffee,4,210,True,True,1,20,11,4,20,4,0,74,7
20,al manakh,المناخ,24.6287479,46.7935384,Restaurants,3,211,True,True,1,5,15,2,0,1,0,96,2
21,dhahrat namar,ظهرة نمار,24.5525321,46.6092798,Restaurants,4,458,True,True,0,4,9,0,6,2,0,98,5
22,al mishal,المشاعل,24.6179254,46.85718809999999,Restaurants,4,211,False,True,1,0,20,12,0,0,0,63,3
23,jarir,جرير,24.6864187,46.7468034,Restaurants,4,656,True,True,0,20,20,13,5,12,1,103,17
24,al ulaya,العليا,24.7073712,46.6644448,Coffee,4,456,False,True,0,20,20,20,20,6,1,115,40
25,ar rawdah,الروضة,24.7472633,46.7758775,Coffee,4,213,True,True,1,20,15,9,7,9,0,52,25
26,al maizilah,المعيزلة,24.7654769,46.8221692,Restaurants,3,455,True,True,0,20,13,10,20,7,0,113,16
27,as safarat,السفارات,24.6635616,46.6301305,Restaurants,4,745,False,True,0,4,4,6,7,9,0,81,21
28,al maizilah,المعيزلة,24.7767167,46.8218232,Restaurants,3,455,True,True,0,20,8,6,20,6,0,14,8
29,shubra,شبرا,24.5815992,46.6884554,Coffee,3,455,True,True,0,20,5,14,5,10,0,27,18
30,tuwaiq,طويق,24.5726443,46.527392,Coffee,4,450,True,True,0,20,10,7,3,2,0,24,10
31,al wadi,الوادي,24.7952787,46.6988118,Coffee,4,680,True,True,0,20,20,10,20,8,1,52,15
32,ishbiliyah,اشبيلية,24.7855793,46.8062885,Coffee,4,447,True,True,0,20,4,12,16,4,0,51,10
33,ar rawdah,الروضة,24.7284366,46.7833686,Coffee,3,446,True,False,0,20,12,12,12,10,0,41,34
34,at taawn,التعاون,24.7721853,46.6982829,Restaurants,4,444,True,True,0,20,20,15,17,9,1,81,28
35,an nakhil,النخيل,24.7340253,46.6484655,Coffee,4,442,True,True,0,20,20,20,11,8,1,98,20
36,al masif,المصيف,24.7743665,46.6808477,Coffee,4,215,True,True,1,20,20,16,16,5,1,53,34
