,nameAr,neighbhood,nameEn,cityId,neCoordinates,swCoordinates
2015,الشوقية,Ash Shawqiyah,ash shawqiyah,6,"21.40026281,39.81052103","21.37031694,39.78439940"
2016,الهجرة,Al Hijrah,al hijrah,6,"21.39417098,39.86784848","21.35553948,39.82761353"
2017,بطحاء قريش,Batha Quraysh,batha quraysh,6,"21.38539167,39.86371328","21.33922220,39.81512545"
2018,شرائع المجاهدين,Sharai Al Mujahidin,sharai al mujahidin,6,"21.54985985,39.96821702","21.48626944,39.91351325"
2019,العوالي,Al Awali,al awali,6,"21.36232279,40.01374674","21.25516545,39.85356118"
2020,الشرائع,Asharai,asharai,6,"21.54989301,39.94974073","21.47619532,39.88499332"
2021,الراشدية,Ar Rashidiyah,ar rashidiyah,6,"21.49293128,40.00603061","21.43542945,39.93622319"
2022,الخضراء,Al Khadra,al khadra,6,"21.48260693,39.99738931","21.38556316,39.89627704"
2023,الملك فهد,King Fahd,king fahd,6,"21.42047648,39.78824260","21.33035743,39.62275963"
2024,العكيشية,Al Ukayshiyah,al ukayshiyah,6,"21.36563561,39.92319440","21.16745556,39.80345551"
2025,ولي العهد,Waly Al Ahd,waly al ahd,6,"21.37625810,39.82460201","21.22454517,39.63339226"
2026,الاندلس,Al Andalus,al andalus,6,"21.47730245,39.83554800","21.43559450,39.81899579"
2027,ريع زاخر,Ray Zakhir,ray zakhir,6,"21.47715698,39.84605745","21.44027709,39.83030540"
2028,التنعيم,At Tanim,at tanim,6,"21.51971548,39.83558685","21.46037875,39.79219738"
2029,الزاهر,Az Zahir,az zahir,6,"21.45657781,39.81051944","21.43888559,39.78562866"
2030,شعب عامر وشعب علي,Shaib Amir And Shaib Ali,shaib amir and shaib ali,6,"21.43113568,39.83728364","21.42228816,39.82836668"
2031,اجياد,Ajyad,ajyad,6,"21.42376255,39.83800755","21.41177651,39.82629898"
2032,الحمراء وام الجود,Al Hamra Umm Al Jud,al hamra umm al jud,6,"21.44737584,39.78080658","21.35180910,39.61126264"
2033,النزهة,An Nuzhah,an nuzhah,6,"21.44034891,39.80010287","21.42047648,39.77000023"
2034,العتيبية,Al Utaybiyah,al utaybiyah,6,"21.46618531,39.82732852","21.43878608,39.80958665"
