,place_id,name,types,price_level,rating,user_ratings_total,lat,lng,place,neighbhood,city,provinces,opeining_days,delivery,dine_in,schoolNum,companieNum,officeNum,HotelNum,parksNum,isLoved,rated1,rated2,rated3,rated4,rated5
1072,ChIJN_SS-drlLj4RTyPZOYFO3TA,فايف جايز,Restaurants,,3.5,32,24.8002324,46.60017819999999,Road,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,14.0,20.0,14.0,3.0,5.0,0,5,1,1,0,2
1073,ChIJO3a9cQ_kLj4RKj-VDcVD0no,عالخفيف | Alkhafeef,Restaurants,2.0,4.0,344,24.8016527,46.6036396,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,17.0,20.0,20.0,7.0,4.0,1,1,0,0,2,5
1074,ChIJ5xStJkvlLj4RDahCTEEWQS0,سيرموني,Restaurants,,4.4,1753,24.8010388,46.5995854,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,14.0,20.0,14.0,4.0,5.0,1,0,1,2,2,3
1075,ChIJB0NQbhHlLj4RvJbL4E4t1cc,Malqa Shabiyat Restaurant,Restaurants,,5.0,4,24.8137537,46.5992465,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,,True,True,13.0,20.0,15.0,10.0,3.0,0,0,0,0,0,0
1076,ChIJgWCh8nLkLj4R4wIWpnOJM_A,بيزاده,Restaurants,,4.3,2880,24.807497,46.6144866,طريق أنس ابن مالك,الملقا,الرياض,امارة منطقة الرياض,7.0,True,True,20.0,20.0,20.0,20.0,5.0,0,0,1,2,1,4
1077,ChIJyzs1zCLlLj4RXFHnPuIl2ds,كاليفورنيا برجر‏,Restaurants,2.0,4.5,13575,24.8064834,46.6122904,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,20.0,20.0,20.0,20.0,4.0,1,0,1,1,1,6
1078,ChIJvewnPOTlLj4RpC3yghl1TDM,البيك,Restaurants,1.0,3.9,6934,24.8041246,46.6069252,الرياض,امارة منطقة الرياض,منطقة الرياض,السعودية,7.0,True,True,20.0,20.0,20.0,9.0,4.0,1,4,0,0,2,2
1079,ChIJ67lkHaflLj4R13jIvdYsQt4,PAOLO باولو,Restaurants,,5.0,3,24.8042724,46.5956086,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,13.0,20.0,10.0,4.0,5.0,0,0,0,0,0,0
1080,ChIJi9Ax5X3lLj4R0Ppe7AwT0Tw,Shajarat Lemon شجرة ليمون,Restaurants,,3.5,56,24.8042505,46.5956167,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,13.0,20.0,11.0,4.0,5.0,0,2,0,0,1,4
1081,ChIJpd5Y9ULlLj4RrTG7PTx-L88,فل | PHILL,Restaurants,,4.0,109,24.8118472,46.6052377,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,True,True,16.0,20.0,20.0,12.0,3.0,1,0,1,1,2,4
1082,ChIJ7TTZQ2TlLj4RrSNx8lUo_sY,كورن,Restaurants,,3.8,397,24.8106687,46.6010348,6883,طريق الأمير محمد بن سعد بن عبدالعزيز,الملقا,الرياض,7.0,True,True,15.0,20.0,20.0,12.0,3.0,0,3,2,0,2,1
1083,ChIJn_LBFQ7lLj4RfAbKtBlw0qw,زووبا,Restaurants,2.0,4.1,4785,24.8073173,46.6137577,الملقا,الرياض,امارة منطقة الرياض,منطقة الرياض,7.0,False,True,20.0,20.0,20.0,20.0,5.0,0,0,0,0,2,6
