,place_id,isLoved,rated1,rated2,rated3,rated4,rated5
297,ChIJ4RQ-Djb9ST4RAzYBWKyhN14,1,1,1,0,0,8
298,ChIJ4S4olRvvST4R1BGN4Ez-zCI,1,1,1,0,0,2
299,ChIJ4TES2hgLNT4RbQwYEG0DsMo,1,0,0,0,1,1
300,ChIJ4TIMrei9Nz4RLXWJIzcFt3A,1,0,1,1,3,0
301,ChIJ4TeL-YbrNz4RITxWwOTFhZI,1,0,0,0,1,1
302,ChIJ4Tk0WVyTNz4RUy3RAxIFRog,1,4,0,2,0,0
303,ChIJ4U1vPF_5ST4RMCTSnkZG42s,1,0,0,3,1,2
304,ChIJ4V2hMEboST4RQjHFZjxUTtY,1,0,1,0,2,3
305,ChIJ4V7SnkoQLz4R-EWvp_A9-gE,1,1,1,1,0,3
306,ChIJ4Ve2BnEDNj4RLYaEp2SsYGM,1,0,0,0,1,2
307,ChIJ4ViYAh8bLz4RbFlXM6sSfrc,1,1,1,0,0,2
308,ChIJ4VjdBPUDLz4RRyoBsnvihXA,0,1,0,1,0,6
309,ChIJ4Xdiohf9Lj4RbTxEiW3FV8w,0,0,1,0,1,5
310,ChIJ4YxtsSzbST4Rl6HYA4x5cLA,0,3,0,1,0,2
311,ChIJ4ZA4m0PtNz4R_POZwVjDvLk,0,0,0,0,1,4
312,ChIJ4Zf2WDEBLz4R89M42cfq35g,0,0,0,1,0,6
313,ChIJ4ZoBlEaXNz4Red1kI1Oqa8w,0,0,0,2,3,2
314,ChIJ4aCIrCz_Lj4RXMs-9HElUkQ,0,0,0,0,2,4
315,ChIJ4aeXpOATLz4RS7QL2xlMA88,0,1,0,1,1,2
316,ChIJ4afyzsfjLj4RFtzkeX386gQ,0,0,0,0,1,2
317,ChIJ4bvIDwvtNz4R749rJ3odVMU,0,1,1,0,1,2
318,ChIJ4c0wAmfpST4Rl6eNQil_C-U,0,0,0,0,0,7
319,ChIJ4cIPsUMjLz4RMNvGeewOa4A,0,5,0,0,0,2
320,ChIJ4cx5fjz9Lj4R0Lkep3MWIIQ,0,0,0,0,1,7
321,ChIJ4dMW60HpST4R9DuBaLF8H7A,0,0,0,2,2,3
322,ChIJ4djkBYfbST4RNGhEk2taZ6I,0,2,1,0,0,2
323,ChIJ4eL4drbFST4RG7tRvYTbo9c,0,4,0,1,0,2
324,ChIJ4eWULcQbNT4RrtYm_kgAVK4,1,1,1,1,1,2
325,ChIJ4fFoOuERNT4RgJRhA3W5xKk,0,0,0,1,0,0
326,ChIJ4f_jAHahLz4RjpBBdGvaokI,1,3,0,1,0,3
327,ChIJ4wXxYvboST4RkgkghQTIYd4,1,3,2,0,0,5
328,ChIJ4wubaFf9Lj4RqEfQpcI2Du0,1,1,2,1,0,1
